"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate","numeric","0","time &&& outcome &&& competing_outcome","0 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_lower","numeric","0","time &&& outcome &&& competing_outcome","0 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_upper","numeric","0","time &&& outcome &&& competing_outcome","0 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate","numeric","0","time &&& outcome &&& competing_outcome","1 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_lower","numeric",NA,"time &&& outcome &&& competing_outcome","1 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_upper","numeric",NA,"time &&& outcome &&& competing_outcome","1 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate","numeric","0.0014","time &&& outcome &&& competing_outcome","2 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_lower","numeric","4e-04","time &&& outcome &&& competing_outcome","2 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_upper","numeric","0.0058","time &&& outcome &&& competing_outcome","2 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate","numeric","0.0014","time &&& outcome &&& competing_outcome","3 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_lower","numeric","4e-04","time &&& outcome &&& competing_outcome","3 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_upper","numeric","0.0058","time &&& outcome &&& competing_outcome","3 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate","numeric","0.0022","time &&& outcome &&& competing_outcome","4 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_lower","numeric","7e-04","time &&& outcome &&& competing_outcome","4 &&& progression &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","cumulative_failure_probability","progression","estimate_95CI_upper","numeric","0.0067","time &&& outcome &&& competing_outcome","4 &&& progression &&& death_cohort"
