"result_id","number_records","number_subjects","reason_id","reason","excluded_records","excluded_subjects","cdm_name"
1,"15662","15662",1,"Starting population",NA,NA,"CPRD_GOLD"
1,"15662","15662",2,"Missing year of birth","0","0","CPRD_GOLD"
1,"15662","15662",3,"Missing sex","0","0","CPRD_GOLD"
1,"15662","15662",4,"Cannot satisfy age criteria during the study period based on year of birth","0","0","CPRD_GOLD"
1,"10733","10733",5,"No observation time available during study period","4929","4929","CPRD_GOLD"
1,"10733","10733",6,"Doesn't satisfy age criteria during the study period","0","0","CPRD_GOLD"
1,"10733","10733",7,"Prior history requirement not fulfilled during study period","0","0","CPRD_GOLD"
1,"5283","5283",8,"Not Male","5450","5450","CPRD_GOLD"
1,"3697","3697",10,"No observation time available after applying age, prior observation and, if applicable, target criteria","1586","1586","CPRD_GOLD"
1,"4493","3697",11,"Starting analysis population",NA,NA,"CPRD_GOLD"
1,"3662","3662",12,"Excluded due to prior event (do not pass outcome washout during study period)","831","35","CPRD_GOLD"
1,"3662","3662",14,"Not observed during the complete database interval","0","0","CPRD_GOLD"
2,"15662","15662",1,"Starting population",NA,NA,"CPRD_GOLD"
2,"15662","15662",2,"Missing year of birth","0","0","CPRD_GOLD"
2,"15662","15662",3,"Missing sex","0","0","CPRD_GOLD"
2,"15662","15662",4,"Cannot satisfy age criteria during the study period based on year of birth","0","0","CPRD_GOLD"
2,"10733","10733",5,"No observation time available during study period","4929","4929","CPRD_GOLD"
2,"10733","10733",6,"Doesn't satisfy age criteria during the study period","0","0","CPRD_GOLD"
2,"10733","10733",7,"Prior history requirement not fulfilled during study period","0","0","CPRD_GOLD"
2,"5450","5450",8,"Not Female","5283","5283","CPRD_GOLD"
2,"3896","3896",10,"No observation time available after applying age, prior observation and, if applicable, target criteria","1554","1554","CPRD_GOLD"
2,"4709","3896",11,"Starting analysis population",NA,NA,"CPRD_GOLD"
2,"3857","3857",12,"Excluded due to prior event (do not pass outcome washout during study period)","852","39","CPRD_GOLD"
2,"3857","3857",14,"Not observed during the complete database interval","0","0","CPRD_GOLD"
3,"15662","15662",1,"Starting population",NA,NA,"CPRD_GOLD"
3,"15662","15662",2,"Missing year of birth","0","0","CPRD_GOLD"
3,"15662","15662",3,"Missing sex","0","0","CPRD_GOLD"
3,"15662","15662",4,"Cannot satisfy age criteria during the study period based on year of birth","0","0","CPRD_GOLD"
3,"10733","10733",5,"No observation time available during study period","4929","4929","CPRD_GOLD"
3,"10733","10733",6,"Doesn't satisfy age criteria during the study period","0","0","CPRD_GOLD"
3,"10733","10733",7,"Prior history requirement not fulfilled during study period","0","0","CPRD_GOLD"
3,"7593","7593",10,"No observation time available after applying age, prior observation and, if applicable, target criteria","3140","3140","CPRD_GOLD"
3,"9202","7593",11,"Starting analysis population",NA,NA,"CPRD_GOLD"
3,"7519","7519",12,"Excluded due to prior event (do not pass outcome washout during study period)","1683","74","CPRD_GOLD"
3,"7519","7519",14,"Not observed during the complete database interval","0","0","CPRD_GOLD"
4,"15662","15662",1,"Starting population",NA,NA,"CPRD_GOLD"
4,"15662","15662",2,"Missing year of birth","0","0","CPRD_GOLD"
4,"15662","15662",3,"Missing sex","0","0","CPRD_GOLD"
4,"15662","15662",4,"Cannot satisfy age criteria during the study period based on year of birth","0","0","CPRD_GOLD"
