"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","1","time &&& outcome","0 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","1","time &&& outcome","0 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","1","time &&& outcome","0 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.9697","time &&& outcome","1 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.9607","time &&& outcome","1 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9787","time &&& outcome","1 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.9494","time &&& outcome","2 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.9379","time &&& outcome","2 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.961","time &&& outcome","2 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.9386","time &&& outcome","3 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.926","time &&& outcome","3 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9513","time &&& outcome","3 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.927","time &&& outcome","4 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.9134","time &&& outcome","4 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9408","time &&& outcome","4 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.9198","time &&& outcome","5 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.9056","time &&& outcome","5 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9342","time &&& outcome","5 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.9133","time &&& outcome","6 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8985","time &&& outcome","6 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9282","time &&& outcome","6 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.9089","time &&& outcome","7 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8939","time &&& outcome","7 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9242","time &&& outcome","7 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8995","time &&& outcome","8 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8838","time &&& outcome","8 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9155","time &&& outcome","8 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.893","time &&& outcome","9 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8769","time &&& outcome","9 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9094","time &&& outcome","9 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8858","time &&& outcome","10 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8692","time &&& outcome","10 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.9027","time &&& outcome","10 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8793","time &&& outcome","11 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8623","time &&& outcome","11 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8966","time &&& outcome","11 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8749","time &&& outcome","12 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8577","time &&& outcome","12 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8925","time &&& outcome","12 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8713","time &&& outcome","13 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8538","time &&& outcome","13 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8891","time &&& outcome","13 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8691","time &&& outcome","14 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8515","time &&& outcome","14 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8871","time &&& outcome","14 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8648","time &&& outcome","15 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.847","time &&& outcome","15 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.883","time &&& outcome","15 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8612","time &&& outcome","16 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8431","time &&& outcome","16 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8796","time &&& outcome","16 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8561","time &&& outcome","17 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8378","time &&& outcome","17 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8748","time &&& outcome","17 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8518","time &&& outcome","18 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8332","time &&& outcome","18 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.8707","time &&& outcome","18 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8489","time &&& outcome","19 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8302","time &&& outcome","19 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_upper","numeric","0.868","time &&& outcome","19 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate","numeric","0.8424","time &&& outcome","20 &&& death_cohort"
1,"CPRD_GOLD","cohort","mgus_diagnosis","overall","overall","survival_probability","death_cohort","estimate_95CI_lower","numeric","0.8234","time &&& outcome","20 &&& death_cohort"
