"path","freq","age","sex","indexYear","cdm_name"
"None",12,"0-10","female","1950","CPRD_GOLD"
"None",12,"0-10","female","1951","CPRD_GOLD"
"None",17,"0-10","female","1952","CPRD_GOLD"
"None",19,"0-10","female","1953","CPRD_GOLD"
"None",11,"0-10","female","1954","CPRD_GOLD"
"None",18,"0-10","female","1955","CPRD_GOLD"
"None",22,"0-10","female","1956","CPRD_GOLD"
"None",20,"0-10","female","1957","CPRD_GOLD"
"None",18,"0-10","female","1958","CPRD_GOLD"
"None",16,"0-10","female","1959","CPRD_GOLD"
"None",19,"0-10","female","1960","CPRD_GOLD"
"None",32,"0-10","female","1961","CPRD_GOLD"
"None",25,"0-10","female","1962","CPRD_GOLD"
"None",21,"0-10","female","1963","CPRD_GOLD"
"None",34,"0-10","female","1964","CPRD_GOLD"
"None",26,"0-10","female","1965","CPRD_GOLD"
"None",25,"0-10","female","1966","CPRD_GOLD"
"None",23,"0-10","female","1967","CPRD_GOLD"
"None",32,"0-10","female","1968","CPRD_GOLD"
"None",25,"0-10","female","1969","CPRD_GOLD"
"None",20,"0-10","female","1970","CPRD_GOLD"
"None",26,"0-10","female","1971","CPRD_GOLD"
"None",27,"0-10","female","1972","CPRD_GOLD"
"None",36,"0-10","female","1973","CPRD_GOLD"
"None",25,"0-10","female","1974","CPRD_GOLD"
"None",24,"0-10","female","1975","CPRD_GOLD"
"None",24,"0-10","female","1976","CPRD_GOLD"
"None",32,"0-10","female","1977","CPRD_GOLD"
"None",21,"0-10","female","1978","CPRD_GOLD"
"None",22,"0-10","female","1979","CPRD_GOLD"
"None",23,"0-10","female","1980","CPRD_GOLD"
"None",18,"0-10","female","1981","CPRD_GOLD"
"None",15,"0-10","female","1982","CPRD_GOLD"
"None",14,"0-10","female","1983","CPRD_GOLD"
"None",10,"0-10","female","1984","CPRD_GOLD"
"None",6,"0-10","female","1985","CPRD_GOLD"
"None",6,"0-10","female","1986","CPRD_GOLD"
"None",5,"0-10","female","1987","CPRD_GOLD"
"None",5,"0-10","female","1988","CPRD_GOLD"
"None",5,"0-10","female","1989","CPRD_GOLD"
"None",20,"0-10","male","1950","CPRD_GOLD"
"None",17,"0-10","male","1951","CPRD_GOLD"
"None",26,"0-10","male","1952","CPRD_GOLD"
"None",16,"0-10","male","1953","CPRD_GOLD"
"None",24,"0-10","male","1954","CPRD_GOLD"
"None",15,"0-10","male","1955","CPRD_GOLD"
"None",12,"0-10","male","1956","CPRD_GOLD"
"None",20,"0-10","male","1957","CPRD_GOLD"
"None",25,"0-10","male","1958","CPRD_GOLD"
"None",20,"0-10","male","1959","CPRD_GOLD"
"None",16,"0-10","male","1960","CPRD_GOLD"
"None",24,"0-10","male","1961","CPRD_GOLD"
"None",19,"0-10","male","1962","CPRD_GOLD"
"None",26,"0-10","male","1963","CPRD_GOLD"
"None",23,"0-10","male","1964","CPRD_GOLD"
"None",26,"0-10","male","1965","CPRD_GOLD"
"None",24,"0-10","male","1966","CPRD_GOLD"
"None",25,"0-10","male","1967","CPRD_GOLD"
"None",25,"0-10","male","1968","CPRD_GOLD"
"None",25,"0-10","male","1969","CPRD_GOLD"
"None",33,"0-10","male","1970","CPRD_GOLD"
"None",27,"0-10","male","1971","CPRD_GOLD"
"None",26,"0-10","male","1972","CPRD_GOLD"
"None",23,"0-10","male","1973","CPRD_GOLD"
"None",26,"0-10","male","1974","CPRD_GOLD"
"None",20,"0-10","male","1975","CPRD_GOLD"
"None",25,"0-10","male","1976","CPRD_GOLD"
"None",18,"0-10","male","1977","CPRD_GOLD"
"None",20,"0-10","male","1978","CPRD_GOLD"
"None",20,"0-10","male","1979","CPRD_GOLD"
"None",19,"0-10","male","1980","CPRD_GOLD"
"None",13,"0-10","male","1981","CPRD_GOLD"
"None",12,"0-10","male","1982","CPRD_GOLD"
"None",11,"0-10","male","1983","CPRD_GOLD"
"None",6,"0-10","male","1984","CPRD_GOLD"
"None",10,"0-10","male","1985","CPRD_GOLD"
"None",7,"0-10","male","1986","CPRD_GOLD"
"None",5,"0-10","male","1987","CPRD_GOLD"
"None",5,"0-10","male","1988","CPRD_GOLD"
"None",5,"0-10","male","1989","CPRD_GOLD"
"None",5,"0-10","male","1990","CPRD_GOLD"
"None",5,"0-10","male","1992","CPRD_GOLD"
"None",5,"10-20","female","1955","CPRD_GOLD"
"None",5,"10-20","female","1956","CPRD_GOLD"
"None",5,"10-20","female","1957","CPRD_GOLD"
"None",5,"10-20","female","1964","CPRD_GOLD"
"None",5,"10-20","female","1966","CPRD_GOLD"
"None",5,"10-20","female","1968","CPRD_GOLD"
